Joke,Episode,Guest,URL,Time,ID
9/11.,,,,,0
"We all know that the Swiss are officially neutral. Unofficially, however, they're filthy sons of bitches.",NML S01E01,Super Dave Osborne,E5eIJ5Ev_u4,49m44s,1
Remember the old days when 'tweeting' meant stabbing a hooker?,NML S01E01,Super Dave Osborne,E5eIJ5Ev_u4,50m12s,2
"Why is there an app for everything, except how to rape a baby?",NML S01E01,Super Dave Osborne,E5eIJ5Ev_u4,50m23s,3
"Some gold-plated chains would make a nice retirement gift for a very, very good slave.",NML S01E01,Super Dave Osborne,E5eIJ5Ev_u4,50m34s,4
I can prove God exists! If I could just find that damn receipt from our brunch in heaven...,NML S01E01,Super Dave Osborne,E5eIJ5Ev_u4,51m12s,5
We could nip 'March Madness' in the bud if we watch for the warning signs of 'Brooding Anti-social February Fever',NML S01E01,Super Dave Osborne,E5eIJ5Ev_u4,51m27s,6
This Lindsay Lohan can't swim a stroke but she sure knows every dive in town.,NML S01E01,Super Dave Osborne,E5eIJ5Ev_u4,51m55s,7
"Call me an old softie, but I'd prefer if you call me a distinguished gentleman with a flagging erection.",NML S01E01,Super Dave Osborne,E5eIJ5Ev_u4,52m13s,8
I remember back when the 'Harlem Shake' was just a black fella holding me upside down off of a fire escape trying to collect his money!,NML S01E01,Super Dave Osborne,E5eIJ5Ev_u4,52m33s,9
"Sure junkyard dogs are mean, but the meanest dogs are generally found guarding concentration camps.</p> <p>Note: Early versions of Jim Croce's 1973 smash hit 'Big Bad Leeroy Brown' included the line ""meaner than a concentration camp dog"" but Croce decided it was unpleasant to the ear.</p> <p>And it was also offensive to Jews, gypsies and homosexuals. Little did it matter, Croce would be dead within the year.",NML S01E01,Super Dave Osborne,E5eIJ5Ev_u4,53m0s,10
 'Deep Throat' porn legend Harry Reems died.</p> <p>How are they going to close that casket?!,NML S01E01,Super Dave Osborne,E5eIJ5Ev_u4,56m11s,11
Alfred the Great may well be the greatest monarch in the history of England.</p> <p>The worst?</p> <p>Richard the Goat Fucker!,NML S01E01,Super Dave Osborne,E5eIJ5Ev_u4,57m42s,12
"Hank Williams Jr. called President Obama a Muslim who ""hates the US""</p> <p>In response, President Obama said, ""Why would I hate the US? You guys made me President and I wasn't even born here!""",NML S01E01,Super Dave Osborne,E5eIJ5Ev_u4,49m49s,13
"This Easter Sunday, Snoop Dogg gets to say ""Christ is Rizzisen""",NML S01E02,Tom Green,N6g5fncB-LI,41m15s,14
We wear new clothes on Easter to represent Christ's triumphant appearance to the stunned Apostles in a sharp 2-button blazer by Hugo Boss.,NML S01E02,Tom Green,N6g5fncB-LI,41m30s,15
"The guy who did the voice of Charlie Brown was arrested for stalking his girlfriend this week.</p> <p>He also said the next time Lucy grabs away the football, he's going to ""cut that bitch"".",NML S01E02,Tom Green,N6g5fncB-LI,41m46s,16
President Obama continues to shamelessly wage class warfare.</p> <p>Today he announced a steep new tax on shiny top hats.,NML S01E02,Tom Green,N6g5fncB-LI,42m05s,17
Some folks say what this country needs is a good five cent cigar. I'm guessing they're opposing Obamacare.,NML S01E02,Tom Green,N6g5fncB-LI,42m23s,18
"I don't know if this counts as an NCAA Cinderella story, but one of the marquette players said he had help making his uniform from a bunch of singing mice and birds.",NML S01E02,Tom Green,N6g5fncB-LI,42m39s,19
"I read a story about a 17 year old kid who stole a plane, crashed it, and survived.</p> <p>Why don't we make the whole plane out of that kid?",NML S01E02,Tom Green,N6g5fncB-LI,43m06s,20
"Warning to the Easter bunny: Don't put all your eggs in one basket, fella!",NML S01E02,Tom Green,N6g5fncB-LI,43m26s,21
"They say the world's a smaller place than it used to be, but I think that's an optical illusion, based on me becoming a big fat guy.",NML S01E02,Tom Green,N6g5fncB-LI,43m39s,22
"Growing up, I never would have believed that one day I'd need a computer just to masturbate.",NML S01E02,Tom Green,N6g5fncB-LI,43m52s,23
"Jon Hamm has a big dick. I could have told you that, but I don't suck and tell!",NML S01E02,Tom Green,N6g5fncB-LI,44m36s,24
"Swedish Bond girl Britt Ekland told Piers Morgan this week that she was seduced by Warren Beatty after the legendary lothario took her to an X-rated movie for their first date.</p> <p>This is what I have to say about that: ""Hey Warren, stop stealing my moves!""",NML S01E02,Tom Green,N6g5fncB-LI,44m53s,25
"Thomas Edison invented the lightbulb, but I invented the lightbulb up my ass.",NML S01E02,Tom Green,N6g5fncB-LI,45m21s,26
"Octomom is facing jail time for committing welfare fraud. Who didn't see that one coming. I mean seriously, a single mother of eight!",NML S01E02,Tom Green,N6g5fncB-LI,45m40s,27
I am not a big fan of videogames where you <i>cannot</i> kill a prostitute.,NML S01E02,Tom Green,N6g5fncB-LI,45m56s,28
The thing I miss most about the 70's is rolling a number and giving my old lady some head.,NML S01E02,Tom Green,N6g5fncB-LI,46m54s,29
"Celebrating April 1st birthdays, Russian pianist Sergei Rachmaninoff, who was born on this day in 1872, rapper Method Man is 41, Debbie Reynolds turns 80 today, Rachel Maddow is 39, and former German Chancellor Helmut Schmidt would have been 95 today.</p> <p>April Fools! Former German Chancellor Helmut Schmidt is alive and well!",NML S01E02,Tom Green,N6g5fncB-LI,47m11s,30
"I love Lou Gehrig, but I'm not going to stand up in front of a million people and brag that I'm the luckiest man in the world because some doctors named a disease after me.</p> <p>Confidence is one thing, but arrogance is the worst disease of them all.",NML S01E02,Tom Green,N6g5fncB-LI,47m54s,31
"One day in the hopefully not-too-distant future, North Korean dictator Kim Jong Un is going to hear a loud popping sound. The sound of his head coming out of his own ass!",NML S01E02,Tom Green,N6g5fncB-LI,48m15s,32
"A Miami Florida pimp is in custody after forcing a 13 year old prostitute to have his name tattooed on her eyelids when she threatened to run away from him. Roman Thomas III faces charges of human trafficking, false imprisonment, lewd and lascivious exhibition, and delivery of a controlled substance to a child. Y'know, I know the scriptures say ""judge not lest ye be judged"" but I'm just going to come right out and say it. This 'Roman Thomas III guy'... <i>this guy's a real jerk!</i>",NML S01E02,Tom Green,N6g5fncB-LI,48m33s,33
"I used to think revenge was a dish best served cold, but then I realized it meant 'getting back at somebody'.",NML S01E02,Tom Green,N6g5fncB-LI,49m20s,34
"Hey, news media, leave Kim Kardashian alone, will you? She's pregnant! Of course she's going to gain weight, and if anyone knows about rapid weight gain it's me. I went to see the doctor about it and he told me to open my mouth and say OINK!",NML S01E02,Tom Green,N6g5fncB-LI,50m24s,35
I think enough time has passed since 1947 where I can safely admit it.</p> <p>I wish <i>I</i> was the guy that finally wiped the annoying smirk off the Black Dahlia's face.,NML S01E02,Tom Green,N6g5fncB-LI,50m53s,36
"Music is the universal language, but one day soon it will be replaced by Chinese.",NML S01E02,Tom Green,N6g5fncB-LI,51m41s,37
I feel the same way about slaves as I do about shirts with flame patterns on them. I don't want to be friends with anyone who owns either of them.,NML S01E02,Tom Green,N6g5fncB-LI,51m48s,38
"Mickey Mantle knew two things, drinking, and playing drunk baseball.",NML S01E02,Tom Green,N6g5fncB-LI,52m08s,39
Why doesn't Applebee's call their appetizers appletizers? And why doesn't that waitress I met at TGI Fridays ever call me back?,NML S01E02,Tom Green,N6g5fncB-LI,52m24s,40
This administration is cutting back drastically on military spending but doesn't think defense capabilities will be compromised? How so? <i>I'll tell you how so!</i> Groupons!</p> <p>Remember Groupons?,NML S01E02,Tom Green,N6g5fncB-LI,52m38s,41
A worldwide scientific study confirms a long held suspicion; no one anywhere likes drum circles.,NML S01E02,Tom Green,N6g5fncB-LI,52m58s,42
"Justin Bieber's monkey has been quarantined, which reminds us how far we've come since headlines about Pearl Harbor and D-Day.",NML S01E02,Tom Green,N6g5fncB-LI,53m24s,43
"In the coffee shop line today I hear the guy behind me say ""I like to start by biting the ears off"" and I had to pray ""Please God, let him be talking about a chocolate Easter bunny!""",NML S01E02,Tom Green,N6g5fncB-LI,53m42s,44
"Earlier this week Aaron Jackson of Topeka, Kansas painted his house the colors of the gay pride rainbow flag in direct protest of the Westboro Baptist Church. When that didn't seem to work, Jackson fucked three of his best buds on his front lawn.",NML S01E02,Tom Green,N6g5fncB-LI,54m15s,45
Chipotle has cancelled its planned sponsorship of the Utah Boy Scout event due to the BSA's ban on gay leaders and scouts. Ironic how an all male anti-gay organization would want to put hot thick loads of beef and sour cream in their mouth.,NML S01E02,Tom Green,N6g5fncB-LI,55m0s,46
"Former Tennessee Titans cheerleader Elizabeth Leigh Garner, 42 is accused of pulling a 12 year old boy pants off and offering him oral sex. The boy refused her advances, not because he was 12 but because he was a diehard Colts fan.",NML S01E02,Tom Green,N6g5fncB-LI,55m24s,47
"Albert Fish was born May 19th in New York City in 1870. He was known as 'The Gray Man' and 'The Werewolf of Wisteria'. He was a serial killer who slayed children and ate them. When police asked a woman to describe him she said he was ""gray in both appearance and demeanour"". The child rapist and cannibal Fish boasted that he had children in every state. He only chose victims who were either mentally handicapped or African American. Fish tortured, mutilated and murdered the youngsters with a meat cleaver, a butcher's knife and a small handsaw, solidifying his reputation as the most vicious child slayer in criminal history. Though barely literate, Fish wrote taunting letters to the parents of his victims gruesomely detailing how he slayed, butchered, cooked and then with great enjoyment dined on their offspring. He would inevitably declare that a child's roasted rump was the most toothsome dish in all gastronomy. Additionally, Fish was a masochist and would insert wool doused with lighter fluid into his own anus and set it alight for his own enjoyment. Fish was finally arrested and he immediately began confessing to killing 700 children. He was dizzyingly happy, smiling as he described the grisly details of the tortures and the murders appearing to the detectives 'as the devil himself'... <i>I mean this guy was a real jerk!</i>",NML S01E03,Fred Stoller,,1h6m46s,48
The obituaries are concerning me because people are dying in alphabetical order.,NML S01E03,Fred Stoller,,1h6m32s,49
Former pornstar Jenna Jameson was arrested this weekend after allegedly assaulting someone. This may be the most damaging thing to happen to her image since her 16 year career in pornography.,NML S01E03,Fred Stoller,,1h12m17s,50
Why did the moron throw the clock out the window?</p> <p>Because it reminded him of Richard Clock - the man convicted of knife-raping his wife.,NML S01E03,Fred Stoller,,1h12m32s,51
Veterinarians in Colorado have reported that marijuana use is on the rise among dogs. They say you will know if your dog is too high if it starts making a really tall sandwich.,NML S01E03,Fred Stoller,,1h12m53s,52
My doctor told me I should start juicing. The problem is I don't think he meant <u>ham</u> juice.,NML S01E03,Fred Stoller,,1h13m08s,53
I'm so fat that when I get my shoes shined I have to take the bootblack's word for it!,NML S01E03,Fred Stoller,,1h13m30s,54
Porn actor Ron Jeremy is back at work after having open-heart surgery. The name of his next feature is called 'I'm Going to Have to Sit Down for Most of This',NML S01E03,Fred Stoller,,1h13m46s,55
Dance like no one is watching.</p> <p>Sing like no one is listening.</p> <p>Love like you've never been hurt.</p> <p>And fuck like a goddamn retard.,NML S01E03,Fred Stoller,,1h14m09s,56
How many Polish guys does it take to screw in a lightbulb.</p> <p>The question can not be answered because Polish people are so fucking stupid that no matter how many of them are available none of them would ever be able to complete that simple task.,NML S01E03,Fred Stoller,,1h14m26s,57
"How many comedians does it take to screw in a lightbulb?</p> <p>Two. One to do it, and the other to go ""How long's he been up there?""",NML S01E03,Fred Stoller,,1h14m43s,58
"My brother-in-law is so stupid, he came up with a bucket list.</p> <p>Know what the first thing on his bucket list was? Committing suicide.",NML S01E03,Fred Stoller,,1h14m55s,59
Have you heard about the four NFL players that are coming out of the closet? It's about time I think. I think it's high time. Because isn't it strange that nobody's come out of closet in the entire sport of football? Where there's 2000+ players? So there's a great deal of speculation on who those four openly gay players will be. Nobody knows.</p> <p>My guess is it's those four that are always sucking each others cocks.,NML S01E03,Fred Stoller,,1h15m41s,60
"Because of droughts all over Europe, scientists are predicting a global shortage of olive oil.</p> <p>Soon the world will know how Popeye felt after the death of his wife.",NML S01E03,Fred Stoller,,1h18m36s,61
"It takes forever to get a pilot's license, but it only takes a couple of minutes to steal a pilot's jacket and hat.",NML S01E03,Fred Stoller,,1h19m11s,62
"Barbara Walters is planning to announce her retirement, what's next for Babs?</p> <p>Death.",NML S01E03,Fred Stoller,,1h20m31s,63
I think there's nothing cooler than being a lone wolf. Except at wolf-picnics when you don't have a partner for the wolf-wheelbarrow races.,NML S01E05,Billy Bob Thornton,JevTVHJFWPQ,1h4m57s,64
"The Octomom has reportedly been evicted from her California home. The mother of 14 children packed up and left her property in Palmdale after being asked to leave for not paying her rent for the month of April. The single parent whose real name is Nadya Suleman exited leaving a huge mess and the stench of urine inside the pad. Wait, it says here the urine has been traced back to Adam Eget.",NML S01E05,Billy Bob Thornton,JevTVHJFWPQ,1h5m9s,65
