Title,Description,Thumbnail url,Channel name,Views,Likes,Comments,Duration in seconds,Duration in timestamp,Duration,Uploaded Time,Video url
"""Get off the Women's tee!"" Norm Macdonald",Norm tells Kevin Nealon about his trip to the golf course.,https://i.ytimg.com/vi/R2rxXQ_CcQw/maxresdefault.jpg,Norm Shorts ,247913,6768,101,48,0:48,48 Seconds,2022-04-26T02:07:41,https://www.youtube.com/watch?v=R2rxXQ_CcQw
"""Here’s Why I Go To Parties"" 😂 NORM MACDONALD #shorts","Norm Macdonald: Hitler's Dog, Gossip & Trickery (2017)

Comedic Genius is dedicated to bringing you the most talented Stand-Up Comedians of the past & present. If you LOVE comedy, please consider subscribing so we can keep the Stand-Up Comedy community growing!

None of these Stand-Up Clips reflect the views of this channel. Rather, they reflect the views/opinions of the comedians at that particular point in time. So if you're easily offended, please be advised.

We hope you'll keep LAUGHING WITH US! (Or at us)",https://i.ytimg.com/vi/ZPqL8qOlZCk/maxresdefault.jpg,Comedic Genius,1028178,39991,491,60,1:00,"1 Minutes, 0 Seconds",2023-01-26T15:55:12,https://www.youtube.com/watch?v=ZPqL8qOlZCk
"""I APOLOGIZE FOR RUSTY."" w/ Norm MacDonald & Dennis Miller","""Radio ventriloquism is a dying art.""  Norm Macdonald calls into Dennis Miller's radio show introducing his ventriloquist dummy ""Rusty"" to everyone for the first time. ""You're The Dummy!""  Norm MacDonald was one of the greatest comedians to ever live and quite an intelligent person as well.",https://i.ytimg.com/vi/vMIcIXOsXqQ/maxresdefault.jpg,Dre Akbad,8370,161,23,173,2:53,"2 Minutes, 53 Seconds",2024-01-31T14:58:31,https://www.youtube.com/watch?v=vMIcIXOsXqQ
"""I got a picture of my Great Grandfather, thing took 6 hours!"" Norm Macdonald",,https://i.ytimg.com/vi/sY6SjMITHrQ/maxresdefault.jpg,Norm Shorts ,210897,7586,81,60,1:00,"1 Minutes, 0 Seconds",2022-11-16T21:00:34,https://www.youtube.com/watch?v=sY6SjMITHrQ
"""I know"" - Norm Macdonald's Faith","💎 BUY NORM'S BOOK: https://amzn.to/2ZW7sp3
🐛 HEAVEN ON EARTH: I've got a nature channel. It'd mean a lot if you checked it out and considered subscribing: https://www.youtube.com/channel/UC0ce8nS9LIEfK82vYyavNDA?
✂️ FREE CANVA PRO for 30 days: I use Canva everyday for this channel. It rules. Get yourself a free month! Make some shit: https://partner.canva.com/c/3194923/1210731/10068
📕 NORM'S AUDIOBOOK FO FREE: https://amzn.to/3CF6n2R

🍿🍿🍿 OD ON NORM WITH THESE PLAYLISTS 🍿🍿🍿
DEATH JOKES: https://www.youtube.com/playlist?list=PLzOg1dfEXr6J36Qmo0ATK2rngOVqpndCc
ESSENTIAL NORM: https://www.youtube.com/playlist?list=PLzOg1dfEXr6KSjrYne0IMO9CXSesH8rjZ
BEST OF ADAM EGET: https://www.youtube.com/playlist?list=PLzOg1dfEXr6IJR4edMFgrNSueOFHuIbaR
GILBERT'S EP: https://www.youtube.com/playlist?list=PLzOg1dfEXr6JmdDCIOhXHOOjYqLWVuurV
ANDY DICK: https://www.youtube.com/playlist?list=PLzOg1dfEXr6LPP03xZxMQLqiEUSw4BbGG

Thanks for watching. NORM MACDONALD FOREVER                

Clip from Norm Macdonald Live, Season 1 Episode 10 with special guest Andy Dick #NormMacdonald #AdamEgret #NormMacdonaldLive #ImNotNorm #normmacdonaldlivebestmoments",https://i.ytimg.com/vi/Tofm5iB2d9I/sddefault.jpg,I Didn't Even Know He Was Sick,141735,2424,190,12,0:12,12 Seconds,2021-10-21T05:34:49,https://www.youtube.com/watch?v=Tofm5iB2d9I
"""I only know, like, 10, 12 things"" - asides on Celebrity WWTBAM","I consolidated a bunch of pop-up video clips from Celebrity Who Wants To Be A Millionaire, before he got in the hot seat
sources:
Norm can't work the fastest finger machine: https://www.youtube.com/clip/Ugkx2DXPPCrZ89OSxRMGgeBtBevQ8_bwfJdo

https://www.youtube.com/clip/Ugkxmm3Qej67gEblUKB63zMCV2jDP7EePiAg

Norm's Knowledge

https://www.youtube.com/clip/UgkxDT41iRqE93QKuhz2xMHb40vuU79jqkD4

Norm and Joy Behar:

https://www.youtube.com/clip/UgkxBwFZ1fpnMdb88IWEei9mlYdJueD9DNS-

https://www.youtube.com/clip/Ugkx1V6MJP4tEUS5PhU1BL7Pmciz0X4USsTE

Norm and Jon Lovitz

https://www.youtube.com/clip/UgkxYBDKNK85Ykh4ioECtzU-2c3t0AY7gzG5

Norm and Al Capone

https://www.youtube.com/clip/UgkxrUA--OPvLk0DW1EpufGlu1SnxgCXFwt3

Norm Singing Sinatra

https://www.youtube.com/clip/Ugkx9FB89ahYKK1st4hy5JSdS2rFt4pCvYK9",https://i.ytimg.com/vi/IL8uru_OYZs/hqdefault.jpg,Herald Johnson,10281,180,15,229,3:49,"3 Minutes, 49 Seconds",2022-05-03T23:14:45,https://www.youtube.com/watch?v=IL8uru_OYZs
"""I've heard better jokes"" Norm and Original",,https://i.ytimg.com/vi/EGwiT2vhELg/sddefault.jpg,Herald Johnson,43051,1066,47,90,1:30,"1 Minutes, 30 Seconds",2023-01-01T00:31:17,https://www.youtube.com/watch?v=EGwiT2vhELg
"""Men Full of Promise"" -  Oscar Pistorius","Norm 2/2: Norm speaks about Men of Promise - such as Jacques de Gauthier de Gatineau and Oscar Pistorius
Conan Season 4 Episode 89: May 21, 2014: Norm Macdonald, Mackenzie Davis, Veruca Salt",https://i.ytimg.com/vi/MP26BixrodE/maxresdefault.jpg,Herald Johnson,1441805,22282,1201,460,7:40,"7 Minutes, 40 Seconds",2022-03-26T04:00:05,https://www.youtube.com/watch?v=MP26BixrodE
"""People say Pasta here"" Norm Macdonald",,https://i.ytimg.com/vi/UDcytuYIHSM/maxresdefault.jpg,Norm Shorts ,629765,15821,334,16,0:16,16 Seconds,2023-01-15T03:19:20,https://www.youtube.com/watch?v=UDcytuYIHSM
"""The Average High School Prom Goer Spends $1000"" Norm Macdonald",,https://i.ytimg.com/vi/_AVHpCcvjtE/maxresdefault.jpg,Norm Shorts ,113151,4131,101,31,0:31,31 Seconds,2022-12-13T15:00:16,https://www.youtube.com/watch?v=_AVHpCcvjtE
